NombrePlato,Ha_sido_pedido,Precio,Id_Producto,TipoPlato,ClasificacionCarta,Personalizacion,PopularidadTemporada,Temporada,Ocasion,TipoCocinaPrimario_Continental,TipoCocinaPrimario_Supranacional,TipoCocinaPrimario_Estatal,TipoCocinaPrimario_Regional,TipoCocinaSecundario_Continental,TipoCocinaSecundario_Supranacional,TipoCocinaSecundario_Estatal,TipoCocinaSecundario_Regional,SaborPrimario,SaborSecundario,SaborExtendidoPrimario,SaborExtendidoSecundario,SaborExtendidoTerciario,TexturaPrincipal,TexturaSecundaria,GruposAlimenticios,NutriScore,TasaRepeticion,PercentilCategoria,Repeticion,TemperaturaConsumo,VolatilidadCostes,Disponibilidad,TiempoConsumo,TipicoReligion,Gluten,Huevos,Lacteos,Carne,Pescado,Moluscos,Crustaceos,Cacahuetes,Frutos secos,Soja,Apio,Mostaza,Sesamo,Altramuz,Sulfitos,AptoIntoleranciaGluten,AptoIntoleranciaLactosa,AptoIntoleranciaFructosa,AptoDietaSinGluten,AptoDietaCetogenica,AptoDietaOvoLactoVegetariana,AptoDietaLactovegetariana,AptoDietaOvovegetariana,AptoDietaVegana,AptoDietaPiscitariana,AptoDietaPaleo,AptoDietaHipercalorica,AptoDiabetes,AptoEmbarazo,AptoHipertension,AptoHipotension,AptoColesterol,AptoDietaBlanda,AptoFacilDeglucion,AptoCristianismo,AptoIslamismo,AptoHinduismo,AptoBudismo,AptoSintoismo,AptoTaoismo,AptoJudaismo,UsaLicuadora,UsaSarten,UsaWok,UsaVaporera,UsaHorno,UsaFreidora,UsaOllaPresion,Carbohidratos,Proteinas,Grasas,Kcal,Alcohol,Cafeina,Cobre,Calcio,Colesterol,Fluor,GrasasSaturadas,VitA,VitC,VitD,VitE,VitK,VitB1,VitB2,VitB3,VitB5,VitB6,VitB12,Fibra,Folato,AcFolico,Yodo,Hierro,Magnesio,Manganeso,Fosforo,Potasio,Selenio,Sodio,Azucar,Zinc,gCarbohidratos,gProteinas,gGrasas,Kcal 100g,CantidadAlcohol,CantidadCafeina,CantidadCobre,CantidadCalcio,CantidadColesterol,CantidadFluor,CantidadGrasasSaturadas,CantidadVitA,CantidadVitC,CantidadVitD,CantidadVitE,CantidadVitK,CantidadVitB1,CantidadVitB2,CantidadVitB3,CantidadVitB5,CantidadVitB6,CantidadVitB12,CantidadFibra,CantidadFolato,CantidadAcFolico,CantidadYodo,CantidadHierro,CantidadMagnesio,CantidadManganeso,CantidadFosforo,CantidadPotasio,CantidadSelenio,CantidadSodio,CantidadAzucar,CantidadZinc,PorcentajeCarbohidratos,PorcentajeProteinas,PorcentajeGrasas,CantidadCarbohidratos,CantidadProteinas,CantidadGrasas,Precio,MargenBeneficio,CosteProduccion,TiempoElaboracion(s),NecesitaRecalentado,TiempoRecalentado(s),NumeroApplianceNecesarios,GradoElaboracionDispensacion
tortilla de patatas,si,11,223843,plato unico,entrante,2,baja,todas,Comida Trabajo,,,,,,,,,salado,,,,,,,Hortalizas_Verduras,B,,,semanal,Frio,Muy Alta,Muy Alta,Rápido,Cristianismo,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,30.55,30.56,30.57,30.58,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,0.47,0.48,0.49,Muy poco,Muy poco,Muy poco,37.65,37.66,37.67,2553,si,90,1,1
huevos rellenos,no,,1104240,aperitivo,entrante,4,media,todas,Comida Deportiva,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,B,,,semanal,Templado,Alta,Alta,Medio,Islamismo,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,30.56,30.57,30.58,30.59,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,0.48,0.49,0.50,Poco,Poco,Poco,37.66,37.67,37.68,2553,no,97,2,2
patatas alioli,si,4,,aperitivo,entrante,0,baja,todas,Comida Habitual,,,,,,,,,salado,,,,,,,Tuberculos_Legumbres_FrutosSecos,C,,,Quincenal,Caliente,Media,Media,Lento,Hinduismo,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,30.57,30.58,30.59,30.60,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,0.49,0.50,0.51,Adecuado,Adecuado,Adecuado,37.67,37.68,37.69,2553,si,104,3,3
nachos con guacamole,si,5,1171395,aperitivo,entrante,0,muy baja,todas,Cena Habitual,,,,,,,,,salado,,,,,,,Harinas_Pastas,B,,,Mensual,Frio,Baja,Baja,Rápido,Budismo,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,30.58,30.59,30.60,30.61,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,0.50,0.51,0.52,Elevado,Elevado,Elevado,37.68,37.69,37.70,2553,no,111,4,4
croquetas de jamón,si,6,839612,aperitivo,entrante,1,muy baja,todas,Fiesta Infantil,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,C,,,Bimensual,Templado,Muy Baja,Muy Baja,Medio,Sintoismo,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,30.59,30.60,30.61,30.62,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,0.51,0.52,0.53,Muy elevado,Muy elevado,Muy elevado,37.69,37.70,37.71,2553,si,118,5,5
croquetas de bacalao,si,7,2469,aperitivo,entrante,1,baja,todas,Comidas Especiales,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,C,,,Trimestral,Caliente,Muy Alta,Muy Alta,Lento,Taoismo,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,30.60,30.61,30.62,30.63,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,0.52,0.53,0.54,Muy poco,Muy poco,Muy poco,37.70,37.71,37.72,2553,no,125,6,6
mejillones rellenos,si,8,76518,aperitivo,entrante,1,media,todas,Cenas Especiales,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,C,,,Semestral,Frio,Alta,Alta,Rápido,Judaismo,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,30.61,30.62,30.63,30.64,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,0.53,0.54,0.55,Poco,Poco,Poco,37.71,37.72,37.73,2553,si,132,7,7
langostinos gabardina,no,,75764,aperitivo,entrante,1,muy baja,todas,Aperitivos Especiales,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,C,,,Anual,Templado,Media,Media,Medio,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,30.62,30.63,30.64,30.65,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,Adecuado,0.54,0.55,0.56,Adecuado,Adecuado,Adecuado,37.72,37.73,37.74,2553,no,139,8,8
ensalada mixta,si,5,542110,ensalada,vegetal,2,media,todas,Comidas Familiares,,,,,,,,,salado,,,,,,,Hortalizas_Verduras,A,,,Nunca,Caliente,Baja,Baja,Lento,Cristianismo,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,30.63,30.64,30.65,30.66,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,Elevado,0.55,0.56,0.57,Elevado,Elevado,Elevado,37.73,37.74,37.75,2553,si,146,9,9
ensalada de pasta,si,6,1088123,ensalada,pasta,3,media,todas,Comida Trabajo,,,,,,,,,salado,,,,,,,Harinas_Pastas,A,,,Semanal,Frio,Muy Baja,Muy Baja,Rápido,Islamismo,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,30.64,30.65,30.66,30.67,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,Muy elevado,0.56,0.57,0.58,Muy elevado,Muy elevado,Muy elevado,37.74,37.75,37.76,2553,no,153,10,10
